 Appointment / Servicing Provider,Month,CPT Code,None,Billed Charge,Payer Charge,Self Charge,Payment,Payments %,Payer Payment,Patient Payment,Contractual Adjustment,Payer Withheld,Writeoff Adjustment,Refund,Patient Count,Claim Count,Units,Change in A/R,Collection %
"Ables, Sydney K",March_2024,99214,None,0,0,0,30,,0,30,0,0,0,0,0,0,0,-30,
"Ables, Sydney K",June_2024,99213,None,0,0,0,5,,0,5,0,0,0,0,0,0,0,-5,
"Ables, Sydney K",September_2024,99214,None,0,0,0,25,,0,25,0,0,0,0,0,0,0,-25,
"Ables, Sydney K",September_2024,Nshow,None,0,0,0,10,,0,10,0,0,0,0,0,0,0,-10,
"Ables, Sydney K",November_2024,99213,None,0,0,0,28.16,,0,28.16,0,0,0,0,0,0,0,-28.16,
"Ables, Sydney K",November_2024,99214,None,0,0,0,5,,0,5,0,0,0,0,0,0,0,-5,
"Ables, Sydney K",December_2024,99213,None,0,0,0,1.84,,0,1.84,0,0,0,0,0,0,0,-1.84,
"Beaman, Caitlin E",January_2024,1036F,None,0,0,0,25,,25,0,-25,0,0,0,311,323,323,0,
"Beaman, Caitlin E",January_2024,11200,None,0,0,0,17,,0,17,0,0,0,0,0,0,0,-17,
"Beaman, Caitlin E",January_2024,1123F,None,0,0,0,0,,0,0,0,0,0,0,2,2,2,0,
"Beaman, Caitlin E",January_2024,1124F,None,0,0,0,0,,0,0,0,0,0,0,1,1,1,0,
"Beaman, Caitlin E",January_2024,1125F,None,0,0,0,0,,0,0,0,0,0,0,1,1,1,0,
"Beaman, Caitlin E",January_2024,1158F,None,0,0,0,0,,0,0,0,0,0,0,2,2,2,0,
"Beaman, Caitlin E",January_2024,1159F,None,0,0,0,0,,0,0,0,0,0,0,1,1,1,0,
"Beaman, Caitlin E",January_2024,1160F,None,0,0,0,0,,0,0,0,0,0,0,2,2,2,0,
"Beaman, Caitlin E",January_2024,1170F,None,0,0,0,0,,0,0,0,0,0,0,2,2,2,0,
"Beaman, Caitlin E",January_2024,17110,None,226,226,0,0,0,0,0,130.7,0,0,0,1,1,1,95.3,0.57831858
"Beaman, Caitlin E",January_2024,20526,None,0,0,0,-112.76,,-112.76,0,-201.24,0,0,0,0,0,0,314,
"Beaman, Caitlin E",January_2024,20610,None,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
"Beaman, Caitlin E",January_2024,3017F,None,0,0,0,0,,0,0,0,0,0,0,46,47,47,0,
"Beaman, Caitlin E",January_2024,3044F,None,0,0,0,0,,0,0,0,0,0,0,16,16,16,0,
"Beaman, Caitlin E",January_2024,3046F,None,0,0,0,25,,25,0,-25,0,0,0,4,5,5,0,
"Beaman, Caitlin E",January_2024,3051F,None,0,0,0,0,,0,0,0,0,0,0,8,8,8,0,
"Beaman, Caitlin E",January_2024,3052F,None,0,0,0,0,,0,0,0,0,0,0,1,1,1,0,
"Beaman, Caitlin E",January_2024,69209,None,0,0,0,13.36,,13.36,0,15.64,0,0,0,0,0,0,-29,
"Beaman, Caitlin E",January_2024,81003,None,144,144,0,15.67,0.10881944,14.01,1.66,69.99,0,0,0,12,12,12,58.34,0.59486111
"Beaman, Caitlin E",January_2024,81025,None,20,20,0,14.6,0.73,14.6,0,25.4,0,0,0,1,1,1,-20,2
"Beaman, Caitlin E",January_2024,87426,None,2400,2400,0,846.67,0.35277917,749.89,96.78,1775.79,0,0,0,32,32,32,-222.46,1.09269167
"Beaman, Caitlin E",January_2024,87804,None,1400,1400,0,817.22,0.58372857,715.82,101.4,695.02,0,0,0,35,35,70,-112.24,1.08017143
"Beaman, Caitlin E",January_2024,87811,None,300,300,0,136.4,0.45466667,85.86,50.54,264.31,0,0,0,4,4,4,-100.71,1.3357
"Beaman, Caitlin E",January_2024,87880,None,512,512,0,77.87,0.15208984,66.47,11.4,229.82,0,0,0,16,16,16,204.31,0.60095703
"Beaman, Caitlin E",January_2024,90460,None,42,42,0,17,0.4047619,17,0,25,0,0,0,1,1,1,0,1
"Beaman, Caitlin E",January_2024,90471,None,462,462,0,166,0.35930736,162.6,3.4,257.4,0,0,0,11,11,11,38.6,0.91645022
"Beaman, Caitlin E",January_2024,90662,None,150,150,0,0,0,0,0,0,0,0,0,2,2,2,150,0
"Beaman, Caitlin E",January_2024,90670,None,460,460,0,232.19,0.50476087,232.19,0,227.81,0,0,0,1,1,1,0,1
"Beaman, Caitlin E",January_2024,90686,None,300,300,0,222.55,0.74183333,218.35,4.2,81.65,0,0,0,10,10,10,-4.2,1.014
"Beaman, Caitlin E",January_2024,90715,None,65,65,0,0,0,0,0,0,0,0,0,1,1,1,65,0
"Beaman, Caitlin E",January_2024,92551,None,20,20,0,0,0,0,0,0,0,0,0,1,1,1,20,0
"Beaman, Caitlin E",January_2024,93000,None,105,105,0,15.73,0.14980952,9.57,6.16,22.99,0,13,0,3,3,3,53.28,0.49257143
"Beaman, Caitlin E",January_2024,94010,None,0,0,0,37.34,,0,37.34,73,0,0,0,0,0,0,-110.34,
"Beaman, Caitlin E",January_2024,96127,None,3744,3718,26,1157.81,0.30924412,1043.08,114.73,2128.46,0,26,0,279,288,288,431.73,0.8846875
"Beaman, Caitlin E",January_2024,96372,None,42,42,0,0,0,0,0,0,0,0,0,1,1,1,42,0
"Beaman, Caitlin E",January_2024,99072,None,15,15,0,15,1,0,15,0,0,0,0,1,1,1,0,1
"Beaman, Caitlin E",January_2024,99173,None,20,20,0,0,0,0,0,0,0,0,0,1,1,1,20,0
"Beaman, Caitlin E",January_2024,99203,None,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
"Beaman, Caitlin E",January_2024,99204,None,330,330,0,246.75,0.74772727,221.75,25,370.64,0,0,0,1,1,1,-287.39,1.87087879
"Beaman, Caitlin E",January_2024,99211,None,44,44,0,0,0,0,0,0,0,0,0,1,1,1,44,0
"Beaman, Caitlin E",January_2024,99212,None,0,0,0,95.6,,55.45,40.15,33.55,0,0,0,0,0,0,-129.15,
"Beaman, Caitlin E",January_2024,99213,None,5292,5145,147,3056.93,0.57765117,1909.63,1147.3,2698.33,0,62,0,36,36,36,-525.26,1.09925548
"Beaman, Caitlin E",January_2024,99214,None,71250,70750,500,28003.61,0.39303312,18287.67,9715.94,32676,0,280,0,275,285,285,10290.39,0.85557347
"Beaman, Caitlin E",January_2024,99215,None,584,584,0,35.26,0.06037671,30.26,5,0,0,0,0,2,2,2,548.74,0.06037671
"Beaman, Caitlin E",January_2024,99386,None,272,272,0,148.32,0.54529412,148.32,0,123.68,0,0,0,1,1,1,0,1
"Beaman, Caitlin E",January_2024,99387,None,0,0,0,160.34,,160.34,0,141.66,0,0,0,0,0,0,-302,
"Beaman, Caitlin E",January_2024,99394,None,0,0,0,103.97,,103.97,0,82.03,0,0,0,0,0,0,-186,
"Beaman, Caitlin E",January_2024,99395,None,3296,3090,206,1421.86,0.43138956,1359.86,62,1524.14,0,119,0,16,16,16,231,0.92991505
"Beaman, Caitlin E",January_2024,99396,None,1808,1808,0,1167.2,0.64557522,1052.7,114.5,1207.3,0,0,0,8,8,8,-566.5,1.31332965
"Beaman, Caitlin E",January_2024,99397,None,256,256,0,0,0,0,0,0,0,0,0,1,1,1,256,0
"Beaman, Caitlin E",January_2024,99406,None,60,60,0,14.86,0.24766667,14.86,0,90.56,0,0,0,2,2,2,-45.42,1.757
"Beaman, Caitlin E",January_2024,99439,None,240,240,0,119.56,0.49816667,119.56,0,115.44,0,0,0,3,3,3,5,0.97916667
"Beaman, Caitlin E",January_2024,99454,None,65,65,0,33.06,0.50861538,33.06,0,23.51,0,0,0,1,1,1,8.43,0.87030769
"Beaman, Caitlin E",January_2024,99457,None,55,55,0,40.39,0.73436364,40.39,0,14.61,0,0,0,1,1,1,0,1
"Beaman, Caitlin E",January_2024,99490,None,5440,5440,0,3495.19,0.64249816,3442.9,52.29,1855.56,0,0,0,64,64,64,89.25,0.98359375
"Beaman, Caitlin E",January_2024,99496,None,467,467,0,0,0,0,0,0,0,0,0,1,1,1,467,0
"Beaman, Caitlin E",January_2024,99497,None,0,0,0,0,,0,0,0,0,14.44,0,0,0,0,-14.44,
"Beaman, Caitlin E",January_2024,G0008,None,84,84,0,0,0,0,0,0,0,0,0,2,2,2,84,0
"Beaman, Caitlin E",January_2024,G0029,None,0,0,0,0,,0,0,0,0,0,0,1,1,1,0,
"Beaman, Caitlin E",January_2024,G0439,None,472,472,0,363.98,0.77114407,363.98,0,344.02,0,0,0,2,2,2,-236,1.5
"Beaman, Caitlin E",January_2024,G0444,None,74,74,0,8.31,0.1122973,8.31,0,28.69,0,0,0,2,2,2,37,0.5
"Beaman, Caitlin E",January_2024,G2211,None,210,210,0,0,0,0,0,16.54,0,0,0,7,7,7,193.46,0.0787619
"Beaman, Caitlin E",January_2024,G8399,None,0,0,0,0,,0,0,0,0,0,0,20,21,21,0,
"Beaman, Caitlin E",January_2024,G8400,None,0,0,0,0,,0,0,0,0,0,0,4,4,4,0,
"Beaman, Caitlin E",January_2024,G8417,None,0,0,0,0,,0,0,0,0,0,0,228,236,236,0,
"Beaman, Caitlin E",January_2024,G8418,None,0,0,0,0,,0,0,0,0,0,0,2,2,2,0,
"Beaman, Caitlin E",January_2024,G8420,None,0,0,0,0,,0,0,0,0,0,0,56,56,56,0,
"Beaman, Caitlin E",January_2024,G8427,None,0,0,0,0,,0,0,0,0,0,0,2,2,2,0,
"Beaman, Caitlin E",January_2024,G8431,None,0,0,0,0,,0,0,0,0,0,0,24,24,24,0,
"Beaman, Caitlin E",January_2024,G8482,None,0,0,0,0,,0,0,0,0,0,0,213,226,228,0,
"Beaman, Caitlin E",January_2024,G8483,None,0,0,0,0,,0,0,0,0,0,0,117,117,117,0,
"Beaman, Caitlin E",January_2024,G8484,None,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
"Beaman, Caitlin E",January_2024,G8510,None,0,0,0,0,,0,0,0,0,0,0,314,326,326,0,
"Beaman, Caitlin E",January_2024,G8511,None,0,0,0,0,,0,0,0,0,0,0,1,1,1,0,
"Beaman, Caitlin E",January_2024,G8734,None,0,0,0,0,,0,0,0,0,0,0,2,2,2,0,
"Beaman, Caitlin E",January_2024,G8752,None,0,0,0,0,,0,0,0,0,0,0,70,71,71,0,
"Beaman, Caitlin E",January_2024,G8753,None,0,0,0,0,,0,0,0,0,0,0,24,25,25,0,
"Beaman, Caitlin E",January_2024,G8754,None,0,0,0,0,,0,0,0,0,0,0,84,88,88,0,
"Beaman, Caitlin E",January_2024,G8755,None,0,0,0,0,,0,0,0,0,0,0,8,8,8,0,
"Beaman, Caitlin E",January_2024,G8756,None,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
"Beaman, Caitlin E",January_2024,G8783,None,0,0,0,0,,0,0,0,0,0,0,260,267,267,0,
"Beaman, Caitlin E",January_2024,G8950,None,0,0,0,0,,0,0,0,0,0,0,25,26,26,0,
"Beaman, Caitlin E",January_2024,G9711,None,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
"Beaman, Caitlin E",January_2024,G9899,None,0,0,0,0,,0,0,0,0,0,0,46,47,47,0,
"Beaman, Caitlin E",January_2024,G9902,None,0,0,0,0,,0,0,0,0,0,0,18,19,19,0,
"Beaman, Caitlin E",January_2024,G9903,None,0,0,0,0,,0,0,0,0,0,0,313,325,325,0,
"Beaman, Caitlin E",January_2024,G9905,None,0,0,0,0,,0,0,0,0,0,0,1,1,1,0,
"Beaman, Caitlin E",January_2024,G9990,None,0,0,0,0,,0,0,0,0,0,0,1,1,1,0,
"Beaman, Caitlin E",January_2024,G9991,None,0,0,0,0,,0,0,0,0,0,0,8,8,8,0,
"Beaman, Caitlin E",January_2024,G9996,None,0,0,0,0,,0,0,0,0,0,0,1,1,1,0,
"Beaman, Caitlin E",January_2024,INTBL,None,0.96,0.96,0,1.12,1.16666667,1.12,0,0,0,0,0,1,1,1,-0.16,1.16666667
"Beaman, Caitlin E",January_2024,INTC,None,6.36,6.36,0,0,0,0,0,0,0,0,0,2,2,2,6.36,0
"Beaman, Caitlin E",January_2024,INTOP,None,0.18,0.18,0,0,0,0,0,0,0,0,0,3,3,3,0.18,0
"Beaman, Caitlin E",January_2024,INTRI,None,0,0,0,0.01,,0.01,0,0,0,0,0,0,0,0,-0.01,
"Beaman, Caitlin E",January_2024,J3301,None,0,0,0,0,,0,0,-10.4,0,0,0,0,0,0,10.4,
"Beaman, Caitlin E",January_2024,NOC,None,0,0,0,0,,0,0,0,0,0,0,1,1,1,0,
"Beaman, Caitlin E",January_2024,Nshow,None,0,0,0,99.37,,0,99.37,0,0,0,0,0,0,0,-99.37,
"Beaman, Caitlin E",February_2024,1036F,None,0,0,0,50,,50,0,-50,0,0,0,320,339,339,0,
"Beaman, Caitlin E",February_2024,1123F,None,0,0,0,0,,0,0,0,0,0,0,4,4,4,0,
